index,ref,company,company_location,review_date,country_of_bean_origin,specific_bean_origin_or_bar_name,cocoa_percent,rating,counts_of_ingredients,beans,cocoa_butter,vanilla,lecithin,salt,sugar,sweetener_without_sugar,first_taste,second_taste,third_taste,fourth_taste
15,1015,A. Morin,France,2013,Colombia,Colombie,70.0,2.75,4,1,1,0,1,0,1,0,burnt rubber,alkalyzed notes,,
16,1319,A. Morin,France,2014,Peru,Pablino,70.0,4.0,4,1,1,0,1,0,1,0,delicate,hazelnut,brownie,
17,1319,A. Morin,France,2014,Venezuela,"Puerto Cabello, Criollo",70.0,3.75,4,1,1,0,1,0,1,0,astringent,nutty,chocolatey,
18,1315,A. Morin,France,2014,Cuba,Cuba,70.0,3.5,4,1,1,0,1,0,1,0,sliglty dry,papaya,,
19,1315,A. Morin,France,2014,Venezuela,"Sur del Lago, Criollo",70.0,3.5,4,1,1,0,1,0,1,0,nutty,mild choco,roasty,
20,1315,A. Morin,France,2014,Venezuela,"Carenero, Criollo",70.0,2.75,4,1,1,0,1,0,1,0,harsh,leather,earthy,
21,1680,A. Morin,France,2015,Togo,Akata,70.0,3.5,4,1,1,0,1,0,1,0,mild profile,chocolaty,spice,
22,1704,A. Morin,France,2015,Peru,Quilla,70.0,3.5,4,1,1,0,1,0,1,0,grainy texture,cocoa,sweet,
23,1676,A. Morin,France,2015,Togo,Atsane,70.0,3.0,4,1,1,0,1,0,1,0,roasty,acidic,nutty,
24,1676,A. Morin,France,2015,Togo,Kpime,70.0,2.75,4,1,1,0,1,0,1,0,burnt wood,earthy,choco,
25,1876,A. Morin,France,2016,Sao tome,Agua Grande,63.0,3.75,4,1,1,0,1,0,1,0,sweet,chocolatey,vegetal,
26,2206,A. Morin,France,2018,Peru,Absolu,63.0,3.75,4,1,1,0,1,0,1,0,sweet,dairy,spice,cocoa
27,2206,A. Morin,France,2018,Venezuela,Porcelana,70.0,3.5,4,1,1,0,1,0,1,0,alluring aroma,powdery,nutty,
28,1462,Acalli,United States of America,2015,Peru,"Chulucanas, El Platanal, batch 001",70.0,3.75,2,1,0,0,0,0,1,0,yellow fruit,,,
29,1470,Acalli,United States of America,2015,Peru,"Tumbes, Norandino",70.0,3.75,2,1,0,0,0,0,1,0,intense,nutty,cherry,cocoa
30,2470,Acalli,United States of America,2020,Peru,"Barataria, El Plantal and Norandino Tumbes blend",70.0,3.5,2,1,0,0,0,0,1,0,hot cocoa,rich,molasses,
31,2462,Acalli,United States of America,2020,Mexico,"Teapa, Tabasco, batch 2",74.0,3.25,2,1,0,0,0,0,1,0,herbal,molasses,hammy,
32,705,Adi aka Fijiana (Easy In Ltd),Fiji,2011,Fiji,Vanua Levu,88.0,3.5,3,1,1,0,0,0,1,0,orange,floral,lemon,
33,705,Adi aka Fijiana (Easy In Ltd),Fiji,2011,Fiji,"Vanua Levu, Ami-Ami-CA",72.0,3.5,3,1,1,0,0,0,1,0,cocoa and powerful tang,,,
34,705,Adi aka Fijiana (Easy In Ltd),Fiji,2011,Fiji,"Vanua Levu, Toto-A",80.0,3.25,3,1,1,0,0,0,1,0,spicy and candy-like,,,
35,705,Adi aka Fijiana (Easy In Ltd),Fiji,2011,Fiji,Vanua Levu,60.0,2.75,3,1,1,0,0,0,1,0,sweet,sublte strawberry,,
36,2438,Aelan,Vanuatu,2019,Vanuatu,"EPI Island, batch E 11/19",70.0,3.0,2,1,0,0,0,0,1,0,sandy,woody,spicy,sweet
37,2438,Aelan,Vanuatu,2019,Vanuatu,"Malo Island, batch Ma20/19",70.0,2.75,2,1,0,0,0,0,1,0,basic,sweet,cocoa,woody
38,2442,Aelan,Vanuatu,2019,Vanuatu,"Santo Island, batch S15/19",70.0,2.75,2,1,0,0,0,0,1,0,sweet,cocoa,rubbery,
39,2438,Aelan,Vanuatu,2019,Vanuatu,"Malekula Island, batch M10/19",70.0,2.5,2,1,0,0,0,0,1,0,unrefined,sweet,metallic,
40,370,Aequare (Gianduja),Ecuador,2009,Ecuador,"Los Rios, Quevedo, Arriba",70.0,3.0,4,1,1,1,0,0,1,0,roasty,nutty,coffee,
41,370,Aequare (Gianduja),Ecuador,2009,Ecuador,"Los Rios, Quevedo, Arriba",55.0,2.75,4,1,1,1,0,0,1,0,sandy,sweet,banana cream,
42,316,Ah Cacao,Mexico,2009,Mexico,Tabasco,70.0,3.0,3,1,1,0,0,0,1,0,gritty,spice,cocoa,
43,502,Akesson's (Pralus),Switzerland,2010,Madagascar,"Madagascar, Ambolikapiky P.",75.0,2.75,4,1,1,0,1,0,1,0,strong pepper,musty,,
44,508,Akesson's (Pralus),Switzerland,2010,Brazil,"Monte Alegre, D. Badero",75.0,2.75,4,1,1,0,1,0,1,0,fatty,intense,woody,
45,636,Akesson's (Pralus),Switzerland,2011,Indonesia,"Bali (west), Sukrama Family, Melaya area",75.0,3.75,4,1,1,0,1,0,1,0,hay,nut,berry,
46,1061,Alain Ducasse,France,2013,Venezuela,Chuao,75.0,2.5,5,1,1,1,1,0,1,0,sandy,dirt,ashey,
47,1173,Alain Ducasse,France,2013,Peru,"Piura, Perou",75.0,2.5,5,1,1,1,1,0,1,0,cardboard,dirt,roasty,
48,1215,Alain Ducasse,France,2014,Madagascar,Madagascar,75.0,3.0,5,1,1,1,0,1,1,0,citrus,fatty,dairy,
49,1215,Alain Ducasse,France,2014,Trinidad,Trinite,65.0,2.75,6,1,1,1,1,1,1,0,roasty,sweet,savory,
50,1215,Alain Ducasse,France,2014,Vietnam,Vietnam,75.0,2.75,5,1,1,1,0,1,1,0,nutty,roasty,odd dairy,
51,1992,Alain Ducasse,France,2017,Mexico,"Porcelana, Mexique",75.0,3.5,6,1,1,1,1,1,1,0,strawberry,cream,gateway,
52,1944,Alexandre,Netherlands,2017,Ecuador,"Winak Coop, Napo",70.0,3.5,3,1,1,0,0,0,1,0,sandy,green,floral,
53,1944,Alexandre,Netherlands,2017,Nicaragua,"La Dalia, Matagalpa",70.0,3.5,3,1,1,0,0,0,1,0,sandy,sweet,nibby,
54,1944,Alexandre,Netherlands,2017,Tanzania,"Makwale Village, Kyela",70.0,3.5,3,1,1,0,0,0,1,0,sandy,melon,banana,
55,1944,Alexandre,Netherlands,2017,Vietnam,Tien Giang,70.0,3.5,3,1,1,0,0,0,1,0,sandy,sweet,roasty,
56,1129,Altus aka Cao Artisan,United States of America,2013,Bolivia,"Bolivia, batch 101",80.0,3.25,4,1,1,0,1,0,1,0,gritty,berry,mild bitter,
57,1133,Altus aka Cao Artisan,United States of America,2013,Peru,"Peru, batch 148",60.0,3.25,4,1,1,0,1,0,1,0,gritty,too sweet,fruit,
58,1125,Altus aka Cao Artisan,United States of America,2013,Dominican republic,"Conacado, batch 130",60.0,3.0,4,1,1,0,1,0,1,0,sandy,sweet,dairy,spice
59,1133,Altus aka Cao Artisan,United States of America,2013,Bolivia,"Bolivia, batch 154",60.0,3.0,4,1,1,0,1,0,1,0,grit,sweet,caramel,fruit
60,1125,Altus aka Cao Artisan,United States of America,2013,Venezuela,Sur del Lago,60.0,2.5,4,1,1,0,1,0,1,0,sweet,moldy,off,
61,1728,Altus aka Cao Artisan,United States of America,2016,Peru,Acopagro,60.0,3.0,3,1,1,0,0,0,1,0,dry,sweet,caramel,
62,1728,Altus aka Cao Artisan,United States of America,2016,Nicaragua,Momotombo,60.0,2.75,3,1,1,0,0,0,1,0,powdery,sweet,molasses,
63,1732,Altus aka Cao Artisan,United States of America,2016,Ecuador,Gruppo Salinas,60.0,2.75,3,1,1,0,0,0,1,0,sandy,nutty,earthy,roasty
64,1732,Altus aka Cao Artisan,United States of America,2016,Bolivia,CIAAB Coop,60.0,2.5,3,1,1,0,0,0,1,0,sandy,sweet,pungent,
65,1732,Altus aka Cao Artisan,United States of America,2016,Peru,Villa Andina,60.0,2.5,3,1,1,0,0,0,1,0,sandy,sweet,sour,off
66,2044,Altus aka Cao Artisan,United States of America,2018,Dominican republic,Oko Caribe,70.0,3.0,3,1,1,0,0,0,1,0,sweet,coarse,nutty,
67,175,Amano,United States of America,2007,Venezuela,Ocumare,70.0,3.75,4,1,1,1,0,0,1,0,spicy,strawberry,,
68,129,Amano,United States of America,2007,Madagascar,Madagascar,70.0,3.5,4,1,1,1,0,0,1,0,spice,nut,cocoa,fruit
69,147,Amano,United States of America,2007,Venezuela,Cuyagua,70.0,3.0,4,1,1,1,0,0,1,0,waxy,nutty,mint,
70,304,Amano,United States of America,2008,Indonesia,"Bali, Jembrana",70.0,2.75,4,1,1,1,0,0,1,0,sticky,nutty,high acidity,
71,363,Amano,United States of America,2009,Venezuela,Montanya,70.0,3.0,4,1,1,1,0,0,1,0,hot spice,roasty,,
72,470,Amano,United States of America,2010,Ecuador,Guayas,70.0,4.0,4,1,1,1,0,0,1,0,strong spice,intense pepper,,
73,470,Amano,United States of America,2010,Dominican republic,Dos Rios,70.0,3.75,4,1,1,1,0,0,1,0,orange,cinamon,,
74,544,Amano,United States of America,2010,Venezuela,Chuao,70.0,3.0,4,1,1,1,0,0,1,0,woody,red berry,sour,
75,725,Amano,United States of America,2011,Papua new guinea,Morobe,70.0,4.0,4,1,1,1,0,0,1,0,tart,lemon,smoke,
76,322,Amatller (Simon Coll),Spain,2009,Ghana,Ghana,70.0,3.0,2,1,0,0,0,0,1,0,dry,chalky,fudge-like,
77,464,Amatller (Simon Coll),Spain,2009,Ghana,Ghana,85.0,3.0,2,1,0,0,0,0,1,0,roasty,oddly sweet,marshmallow,
78,327,Amatller (Simon Coll),Spain,2009,Ecuador,Ecuador,70.0,2.75,2,1,0,0,0,0,1,0,waxy mouthfeel,spicy,,
79,464,Amatller (Simon Coll),Spain,2009,Ecuador,Ecuador,85.0,2.75,2,1,0,0,0,0,1,0,fatty,mushroom,off notes,
80,1145,Amazona,Peru,2013,Peru,"Bellavista Gran Pajeten, San Martin",73.0,3.5,3,1,1,0,0,0,1,0,oily,vegetal,nutty,cocoa
81,1145,Amazona,Peru,2013,Peru,"LamasdelChanka, San Martin, Oro Verde coop",72.0,3.25,3,1,1,0,0,0,1,0,oily,vanilla,melon,cocoa
82,1498,Ambrosia,Canada,2015,Peru,Peru,68.0,3.5,2,1,0,0,0,0,1,0,rich,sour,mild smoke,
83,1494,Ambrosia,Canada,2015,Madagascar,Madagascar,66.0,3.25,2,1,0,0,0,0,1,0,fruity,sour,,
84,1498,Ambrosia,Canada,2015,Dominican republic,Dominican Republic,75.0,3.25,2,1,0,0,0,0,1,0,high roast,high astringnet,,
85,1498,Ambrosia,Canada,2015,Papua new guinea,Papua New Guinea,63.0,3.25,2,1,0,0,0,0,1,0,smokey,savory,,
86,1498,Ambrosia,Canada,2015,Venezuela,Venezuela,70.0,3.25,2,1,0,0,0,0,1,0,sandy,roasty,nutty,
87,1494,Ambrosia,Canada,2015,Belize,Belize,64.0,3.0,4,1,1,0,1,0,1,0,roasty,brownie,nutty,
88,75,Amedei,Italy,2006,Blend,Toscano Black,66.0,3.75,4,1,1,1,0,0,1,0,red wine,rich cocoa,long,
89,123,Amedei,Italy,2007,Venezuela,Venezuela,70.0,3.75,4,1,1,1,0,0,1,0,creamy,fruit,cocoa,
90,123,Amedei,Italy,2007,Grenada,Grenada,70.0,3.5,4,1,1,1,0,0,1,0,fruity with coffee notes,,,
91,129,Amedei,Italy,2007,Trinidad,Trinidad,70.0,3.5,4,1,1,1,0,0,1,0,coffee,fruit,woodsy,
92,170,Amedei,Italy,2007,Blend,Toscano Black,63.0,3.5,4,1,1,1,0,0,1,0,fatty,dairy,caramel,cocoa
93,123,Amedei,Italy,2007,Ecuador,Ecuador,70.0,3.0,4,1,1,1,0,0,1,0,creamy,earthy,vegetal,
94,123,Amedei,Italy,2007,Jamaica,Jamaica,70.0,3.0,4,1,1,1,0,0,1,0,sandy,woody,spicy,
95,979,Amedei,Italy,2012,Peru,"Piura, Blanco de Criollo",70.0,3.75,4,1,1,1,0,0,1,0,creamy,raspberry,nutty,
96,2092,Amedei,Italy,2018,Blend,Nine,75.0,3.5,4,1,1,1,0,0,1,0,sweet,delicate,complex,
97,2088,Amedei,Italy,2018,Madagascar,Madagascar,70.0,3.0,4,1,1,1,0,0,1,0,vanilla,mint,roasty,
98,2088,Amedei,Italy,2018,Venezuela,Chuao,70.0,3.0,4,1,1,1,0,0,1,0,vanilla,nuts,roasty,
99,2092,Amedei,Italy,2018,Venezuela,Porcelana,70.0,3.0,4,1,1,1,0,0,1,0,nutty,mild roasty,vanilla,
100,2434,Amedei,Italy,2019,Blend,Toscano Black,70.0,2.75,3,1,1,0,0,0,1,0,nut,fatty,rubbery,rich
101,572,AMMA,Brazil,2010,Brazil,"Monte Alegre, 3 diff. plantations",60.0,4.0,4,1,1,0,1,0,1,0,creamy,sweet,cocoa,banana
102,572,AMMA,Brazil,2010,Brazil,"Monte Alegre, 3 diff. plantations",50.0,3.75,4,1,1,0,1,0,1,0,very sweet,bright red,banana,
103,572,AMMA,Brazil,2010,Brazil,"Monte Alegre, 3 diff. plantations",75.0,3.75,4,1,1,0,1,0,1,0,roasty,fatty,nutty,coffee
104,572,AMMA,Brazil,2010,Brazil,"Monte Alegre, 3 diff. plantations",85.0,2.75,4,1,1,0,1,0,1,0,creamy,red berry,bitter,
105,1065,AMMA,Brazil,2013,Brazil,Catongo,75.0,3.25,4,1,1,0,1,0,1,0,grainy,sweet,poor aftertaste,
106,1259,Anahata,United States of America,2014,Dominican republic,Elvesia,75.0,3.0,2,1,0,0,0,0,1,0,chalky,mild fruit,burnt,
107,1852,Animas,United States of America,2016,Bolivia,Alto Beni,75.0,3.5,2,1,0,0,0,0,1,0,light roast,caramel,cocoa,
108,1375,Ara,France,2014,Madagascar,Madagascar,75.0,3.0,3,1,1,0,0,0,1,0,sandy,fruity,short,
109,1379,Ara,France,2014,Venezuela,Trincheras,75.0,3.0,3,1,1,0,0,0,1,0,nutty,mild spice,mild earthy,
110,1379,Ara,France,2014,Ecuador,Equateur,75.0,2.75,3,1,1,0,0,0,1,0,bitter,floral,leather,
111,1379,Ara,France,2014,Mexico,Chiapas,72.0,2.5,3,1,1,0,0,0,1,0,earthy,sour milk,leather,
112,1598,Arete,United States of America,2015,Nicaragua,Chuno,70.0,4.0,2,1,0,0,0,0,1,0,creamy,sticky,peanut butter,
113,1534,Arete,United States of America,2015,Ecuador,"Puerto Quito, heirloom",70.0,3.75,2,1,0,0,0,0,1,0,spicy,cocoa,,
114,1598,Arete,United States of America,2015,Belize,Maya Mountain,70.0,3.75,2,1,0,0,0,0,1,0,floral,strawberry,metallic,
115,1534,Arete,United States of America,2015,Brazil,Fazenda Camboa,70.0,3.5,2,1,0,0,0,0,1,0,creamy,rich,rum,roasty
116,1534,Arete,United States of America,2015,Peru,Nacional,68.0,3.5,2,1,0,0,0,0,1,0,floral,nutty,rich cocoa,
117,1598,Arete,United States of America,2015,Dominican republic,Oko Caribe,70.0,3.5,2,1,0,0,0,0,1,0,spicy,brownie,nutty,
118,1602,Arete,United States of America,2015,Ecuador,Camino Verde,75.0,3.5,3,1,1,0,0,0,1,0,intense,floral,bourbon,
119,1602,Arete,United States of America,2015,Guatemala,Guatemala,70.0,3.25,2,1,0,0,0,0,1,0,strawberry,butterscotch,off,
120,1602,Arete,United States of America,2015,Brazil,Fazenda Camboa,75.0,2.75,2,1,0,0,0,0,1,0,floral,chemical off,,
121,1908,Arete,United States of America,2016,Costa rica,"Coto Brus, Terciopelo",70.0,4.0,2,1,0,0,0,0,1,0,balanced,cherry,choco,
122,1924,Arete,United States of America,2016,Peru,Phantom,70.0,4.0,2,1,0,0,0,0,1,0,creamy,complex,balanced,
123,1724,Arete,United States of America,2016,Tanzania,Kokoa Kamili,70.0,3.75,2,1,0,0,0,0,1,0,appealing smoke,woody,,
124,1904,Arete,United States of America,2016,Nicaragua,Rugoso,70.0,3.75,3,1,1,0,0,0,1,0,muddy,rich cocoa,raspberry,
125,1928,Arete,United States of America,2016,Dominican republic,Elvesia,70.0,3.75,2,1,0,0,0,0,1,0,dark berry,chocolatey,,
126,1724,Arete,United States of America,2016,Trinidad,San Juan,70.0,3.5,2,1,0,0,0,0,1,0,delicate,simple,,
127,1900,Arete,United States of America,2016,Vietnam,Tien Giang,73.0,3.5,3,1,1,0,0,0,1,0,cashew,roasty,chunky melt,
128,1904,Arete,United States of America,2016,Guatemala,Lachua,70.0,3.5,2,1,0,0,0,0,1,0,subtle,mysterious,,
129,1908,Arete,United States of America,2016,Honduras,"La Masica, FHIA",70.0,3.5,2,1,0,0,0,0,1,0,nutty,green,,
130,1904,Arete,United States of America,2016,Ecuador,Hacienda Victoria,70.0,3.25,3,1,1,0,0,0,1,0,sticky,floral,roasty,
131,1904,Arete,United States of America,2016,Ecuador,Costa Esmeraldas,70.0,3.25,3,1,1,0,0,0,1,0,chewy,mild floral,,
132,1928,Arete,United States of America,2016,Fiji,Matasawalevu,70.0,3.25,2,1,0,0,0,0,1,0,smoke,hammy,cocoa base,
133,1928,Arete,United States of America,2016,Vietnam,Lam Dong,73.0,3.25,2,1,0,0,0,0,1,0,earthy,nutty,cardboard,
134,2024,Arete,United States of America,2017,Bolivia,Beniano,70.0,4.0,2,1,0,0,0,0,1,0,creamy,bright fruit,,
135,2028,Arete,United States of America,2017,Haiti,Pisa,70.0,4.0,2,1,0,0,0,0,1,0,long lasting,cocoa,,
136,2020,Arete,United States of America,2017,India,Anamalai,70.0,3.5,2,1,0,0,0,0,1,0,slight roasty,basic cocoa,,
137,2020,Arete,United States of America,2017,Madagascar,Sambirano Valley,70.0,3.5,3,1,1,0,0,0,1,0,sour fruit,,,
138,2020,Arete,United States of America,2017,Vietnam,Ben Tre,73.0,3.5,3,1,1,0,0,0,1,0,rich cocoa,mild roasty,,
139,2028,Arete,United States of America,2017,Peru,Ucayali,70.0,3.5,3,1,1,0,0,0,1,0,dried fruit,fig,anise,
140,2254,Arete,United States of America,2018,Colombia,Tumaco,70.0,4.0,2,1,0,0,0,0,1,0,smooth,nutty,cocoa,
141,2068,Arete,United States of America,2018,Trinidad,Ramnath E.,70.0,3.0,2,1,0,0,0,0,1,0,nuts,dried fruit,short,
142,2330,Arete,United States of America,2019,India,Jangareddygudem,70.0,3.25,3,1,1,0,0,0,1,0,herbs,mushroom,acidic,
143,2450,Arete,United States of America,2019,India,Idukki,70.0,3.0,3,1,1,0,0,0,1,0,burn butterscotch,rubbery,,
144,2162,Argencove,Nicaragua,2018,Nicaragua,Mombacho,70.0,3.5,2,1,0,0,0,0,1,0,smooth,vegetal,,
145,2162,Argencove,Nicaragua,2018,Nicaragua,Cocibolca,70.0,3.5,2,1,0,0,0,0,1,0,roasty,rich cocoa,,
146,2162,Argencove,Nicaragua,2018,Nicaragua,Masaya,70.0,3.25,2,1,0,0,0,0,1,0,melon,late hammy,,
147,2166,Argencove,Nicaragua,2018,Nicaragua,Apoyo,70.0,3.0,2,1,0,0,0,0,1,0,cocoa,earthy,hammy,
148,300,Artisan du Chocolat,United Kingdom,2008,Congo,Congo,72.0,3.75,3,1,1,0,0,0,1,0,spicy,minty,vegetal,
149,363,Artisan du Chocolat,United Kingdom,2009,Dominican republic,Dominican Republic,72.0,3.25,3,1,1,0,0,0,1,0,spice,cocoa,short,
150,363,Artisan du Chocolat,United Kingdom,2009,Madagascar,Madagascar,80.0,3.0,3,1,1,0,0,0,1,0,sl. bitter,cherry,rich,
151,363,Artisan du Chocolat,United Kingdom,2009,Peru,Peru,75.0,3.0,3,1,1,0,0,0,1,0,spicey,mild metallic,,
152,355,Artisan du Chocolat,United Kingdom,2009,Indonesia,Java,72.0,2.75,3,1,1,0,0,0,1,0,gritty,very smokey,sour,
153,355,Artisan du Chocolat,United Kingdom,2009,Venezuela,"Ocumare, Venezuela",75.0,2.5,3,1,1,0,0,0,1,0,oily,nutty,burnt,sour
154,363,Artisan du Chocolat,United Kingdom,2009,Brazil,Brazil Rio Doce,72.0,1.75,3,1,1,0,0,0,1,0,cocoa,dominate off note,,
155,531,Artisan du Chocolat,United Kingdom,2010,Jamaica,Jamaica,72.0,3.75,3,1,1,0,0,0,1,0,grassy,black licorice,mint,
156,600,Artisan du Chocolat,United Kingdom,2010,Indonesia,Bali,72.0,3.5,3,1,1,0,0,0,1,0,black pepper and banana,,,
157,600,Artisan du Chocolat,United Kingdom,2010,Costa rica,Costa Rica,72.0,3.25,3,1,1,0,0,0,1,0,chewy,grassy,nutty,
158,600,Artisan du Chocolat,United Kingdom,2010,Vietnam,Ba Ria Vung Tau Province,72.0,3.25,3,1,1,0,0,0,1,0,unrefined,distinct spicey,,
159,729,Artisan du Chocolat,United Kingdom,2011,Haiti,Haiti,72.0,4.0,3,1,1,0,0,0,1,0,nuts,butterscotch,brownie,
160,745,Artisan du Chocolat,United Kingdom,2011,Panama,Panama,72.0,2.75,3,1,1,0,0,0,1,0,blackpepper,chemical,rubber,
161,947,Artisan du Chocolat,United Kingdom,2012,Colombia,"Colombia, Casa Luker",72.0,3.75,3,1,1,0,0,0,1,0,marshmallow,roasty,nutty,
162,1193,Artisan du Chocolat,United Kingdom,2013,Trinidad,"Trinidad, Heritage, Limited ed.",72.0,3.25,3,1,1,0,0,0,1,0,gritty,nutty,,
163,1181,Artisan du Chocolat (Casa Luker),United Kingdom,2013,Colombia,"Orinoqua Region, Arauca",72.0,2.75,4,1,1,0,1,0,1,0,creamy,marshmallow,off,
164,175,Askinosie,United States of America,2007,Ecuador,San Jose del Tambo,70.0,3.0,2,1,0,0,0,0,1,0,smooth,astringent,cocoa,
165,141,Askinosie,United States of America,2007,Mexico,Xoconusco,75.0,2.5,2,1,0,0,0,0,1,0,leather,black licorice,off,
166,331,Askinosie,United States of America,2009,Philippines,Davao,77.0,3.75,2,1,0,0,0,0,1,0,strawberries,mild tart,roasty,
167,647,Askinosie,United States of America,2011,Tanzania,"Tenende, Uwate",72.0,3.75,2,1,0,0,0,0,1,0,creamy,woody,cocoa,
168,661,Askinosie,United States of America,2011,Honduras,Cortes,70.0,3.75,2,1,0,0,0,0,1,0,grapes,woody,roasty,
169,1780,Askinosie,United States of America,2016,Tanzania,Mababa,68.0,3.75,3,1,1,0,0,0,1,0,creamy,rich,blueberry,
170,2434,Atypic,Australia,2019,Solomon islands,Solomon Islands,70.0,3.0,4,1,1,0,1,0,1,0,off aroma,vegetal,honey,sandy
171,2056,Auro,Philippines,2018,Philippines,"Saloy E., 2016",70.0,3.5,3,1,1,0,0,0,1,0,long,bright fruit,sweet,sour
172,2056,Auro,Philippines,2018,Philippines,"Paquibao E., 2016",70.0,3.0,3,1,1,0,0,0,1,0,waxy,dried fruit,,
173,2056,Auro,Philippines,2018,Philippines,South Cotabato,70.0,3.0,3,1,1,0,0,0,1,0,sandy,roasty,nutty,
174,2056,Auro,Philippines,2018,Philippines,Davao,77.0,2.75,4,1,0,1,1,0,1,0,sandy,vanilla,,
175,995,Bahen & Co.,Australia,2012,Madagascar,Sambirano,70.0,3.0,2,1,0,0,0,0,1,0,unrefined,flat,grassy,
176,999,Bahen & Co.,Australia,2012,Brazil,Bahia,70.0,2.5,2,1,0,0,0,0,1,0,chalky,intense,chemical,
177,999,Bahen & Co.,Australia,2012,Blend,Houseblend,70.0,2.5,2,1,0,0,0,0,1,0,chalky,fragrant,then off,
178,1474,Bahen & Co.,Australia,2015,Papua new guinea,Papua New Guinea,70.0,3.5,2,1,0,0,0,0,1,0,smoke,ham,papaya,
179,1474,Bahen & Co.,Australia,2015,Blend,Houseblend,80.0,3.25,2,1,0,0,0,0,1,0,coarse,smokey,metallic,
180,2146,Baiani,Brazil,2018,Brazil,"Bahia, Vale Potumujo",70.0,3.0,2,1,0,0,0,0,1,0,bland,sugary,large grits,
181,1454,Bakau,Peru,2015,Peru,"Huallabamba, 2015",70.0,3.5,3,1,1,0,0,0,1,0,black pepper,cardamom,,
182,1454,Bakau,Peru,2015,Peru,"Bambamarca, 2015",70.0,2.75,3,1,1,0,0,0,1,0,molasses,caramel,pungent,
183,2294,Bankston,United States of America,2019,Tanzania,Kokoa Kamili,72.0,3.25,3,1,1,0,0,0,1,0,base cocoa,mild fruit,roasty,
184,2294,Bankston,United States of America,2019,Uganda,Uganda,82.0,2.75,3,1,1,0,0,0,1,0,bitter,fatty,mild fruit,
185,2290,Bankston,United States of America,2019,Belize,Belize,72.0,2.5,3,1,1,0,0,0,1,0,gritty,fatty,sour,off
186,983,Bar Au Chocolat,United States of America,2012,Madagascar,Sambirano,70.0,3.75,2,1,0,0,0,0,1,0,raspberry,mild sour,,
187,983,Bar Au Chocolat,United States of America,2012,Mexico,Chiapas,70.0,3.5,2,1,0,0,0,0,1,0,molasses,toffee,coffee grounds,
188,983,Bar Au Chocolat,United States of America,2012,Dominican republic,Duarte Province,70.0,3.25,2,1,0,0,0,0,1,0,complex,black pepper,coffee,
189,1295,Bar Au Chocolat,United States of America,2014,Peru,Maranon Canyon,70.0,4.0,2,1,0,0,0,0,1,0,creamy,rounded,orange,
190,1554,Bar Au Chocolat,United States of America,2015,Brazil,Bahia,70.0,3.5,2,1,0,0,0,0,1,0,intense,smokey,dried fruit,
191,1980,Bar Au Chocolat,United States of America,2017,Costa rica,"Turrialba, Cartago P.",72.0,3.5,2,1,0,0,0,0,1,0,slightly dry,cocoa,berry,
192,1980,Bar Au Chocolat,United States of America,2017,Trinidad,Montserrat Hills,80.0,3.5,2,1,0,0,0,0,1,0,intense,tangy,alcohol,
193,955,Baravelli's,Wales,2012,Costa rica,single estate,80.0,2.75,4,1,1,1,0,0,1,0,gritty,floral,vanilla,
